"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16008","transitionFromYourPersonalAccountToTheDesigner[1]","","Tue Oct 01 15:12:11 MSK 2024","passed","Tue Oct 01 15:12:27 MSK 2024","","Pages.TransitionFromYourPersonalAccountThroughLogoTest","Pages.TransitionFromYourPersonalAccountThroughLogoTest","transitionFromYourPersonalAccountToTheDesigner[1]"
"","13511","filling[0]","","Tue Oct 01 15:10:23 MSK 2024","passed","Tue Oct 01 15:10:37 MSK 2024","","Pages.IngredientSectionSwitchingTest","Pages.IngredientSectionSwitchingTest","filling[0]"
"","21507","testLoginViaPersonalCabinetButton[3: авторизация с : EMAIL=, PASSWORD=]","","Tue Oct 01 15:17:57 MSK 2024","passed","Tue Oct 01 15:18:19 MSK 2024","","Pages.UserLoginUsingThePersonalButtonTest","Pages.UserLoginUsingThePersonalButtonTest","testLoginViaPersonalCabinetButton[3: авторизация с : EMAIL=, PASSWORD=]"
"","29093","testLoginViaAccountButton[7: авторизация с : EMAIL=test-qa99@yandex.ru, PASSWORD=password123991]","","Tue Oct 01 15:27:26 MSK 2024","passed","Tue Oct 01 15:27:55 MSK 2024","","Pages.UserLoginViaPasswordRecoveryFormTest","Pages.UserLoginViaPasswordRecoveryFormTest","testLoginViaAccountButton[7: авторизация с : EMAIL=test-qa99@yandex.ru, PASSWORD=password123991]"
"","5846","createUserSuccessfully[1: регистрация с : EMAIL=test-qa3221@mail.ru, PASSWORD=password3221, NAME=Users3221]","","Tue Oct 01 15:30:33 MSK 2024","passed","Tue Oct 01 15:30:39 MSK 2024","","Pages.UserRegistrationSuccessTest","Pages.UserRegistrationSuccessTest","createUserSuccessfully[1: регистрация с : EMAIL=test-qa3221@mail.ru, PASSWORD=password3221, NAME=Users3221]"
"","5301","buns[0]","","Tue Oct 01 15:10:37 MSK 2024","passed","Tue Oct 01 15:10:42 MSK 2024","","Pages.IngredientSectionSwitchingTest","Pages.IngredientSectionSwitchingTest","buns[0]"
"","5975","createUserSuccessfully[5: регистрация с : EMAIL=test-qa3221@mail.ru, PASSWORD=3221, NAME=Users3221]","","Tue Oct 01 15:31:19 MSK 2024","passed","Tue Oct 01 15:31:25 MSK 2024","","Pages.UserRegistrationWithIncorrectPasswordTest","Pages.UserRegistrationWithIncorrectPasswordTest","createUserSuccessfully[5: регистрация с : EMAIL=test-qa3221@mail.ru, PASSWORD=3221, NAME=Users3221]"
"","11452","souse[1]","","Tue Oct 01 15:11:20 MSK 2024","passed","Tue Oct 01 15:11:31 MSK 2024","","Pages.IngredientSectionSwitchingTest","Pages.IngredientSectionSwitchingTest","souse[1]"
"","9041","testLoginViaPersonalCabinetButton[0: авторизация с : EMAIL=test-qa-2024@yandex.ru, PASSWORD=password2024, BROWSER=chrome]","","Tue Oct 01 15:13:04 MSK 2024","passed","Tue Oct 01 15:13:14 MSK 2024","","Pages.UserLoginInTheRegistrationFormTest","Pages.UserLoginInTheRegistrationFormTest","testLoginViaPersonalCabinetButton[0: авторизация с : EMAIL=test-qa-2024@yandex.ru, PASSWORD=password2024, BROWSER=chrome]"
"","11105","testLoginViaAccountButton[1: авторизация с : EMAIL=test-qa-2024@yandex.ru, PASSWORD=password2024, BROWSER=yandex]","","Tue Oct 01 15:13:14 MSK 2024","passed","Tue Oct 01 15:13:25 MSK 2024","","Pages.UserLoginInTheRegistrationFormTest","Pages.UserLoginInTheRegistrationFormTest","testLoginViaAccountButton[1: авторизация с : EMAIL=test-qa-2024@yandex.ru, PASSWORD=password2024, BROWSER=yandex]"
"","23175","testLoginViaAccountButton[3: авторизация с : EMAIL=, PASSWORD=]","","Tue Oct 01 15:17:34 MSK 2024","passed","Tue Oct 01 15:17:57 MSK 2024","","Pages.UserLoginUsingThePersonalButtonTest","Pages.UserLoginUsingThePersonalButtonTest","testLoginViaAccountButton[3: авторизация с : EMAIL=, PASSWORD=]"
"","24821","testLoginViaAccountButton[1: авторизация с : EMAIL=test-qa991@yandex.ru, PASSWORD=password12399]","","Tue Oct 01 15:23:16 MSK 2024","passed","Tue Oct 01 15:23:41 MSK 2024","","Pages.UserLoginViaPasswordRecoveryFormTest","Pages.UserLoginViaPasswordRecoveryFormTest","testLoginViaAccountButton[1: авторизация с : EMAIL=test-qa991@yandex.ru, PASSWORD=password12399]"
"","16658","testLoginViaPersonalCabinetButton[2: авторизация с : EMAIL=test-qa99@yandex.ru, PASSWORD=password123991]","","Tue Oct 01 15:17:17 MSK 2024","passed","Tue Oct 01 15:17:34 MSK 2024","","Pages.UserLoginUsingThePersonalButtonTest","Pages.UserLoginUsingThePersonalButtonTest","testLoginViaPersonalCabinetButton[2: авторизация с : EMAIL=test-qa99@yandex.ru, PASSWORD=password123991]"
"","7122","goToYourPersonalAccount[1]","","Tue Oct 01 15:30:20 MSK 2024","passed","Tue Oct 01 15:30:27 MSK 2024","","Pages.UserProfileNavigationBeforeAuthorizationTest","Pages.UserProfileNavigationBeforeAuthorizationTest","goToYourPersonalAccount[1]"
"","20142","testLoginViaAccountButton[1: авторизация с : EMAIL=test-qa991@yandex.ru, PASSWORD=password12399]","","Tue Oct 01 15:16:22 MSK 2024","passed","Tue Oct 01 15:16:42 MSK 2024","","Pages.UserLoginUsingThePersonalButtonTest","Pages.UserLoginUsingThePersonalButtonTest","testLoginViaAccountButton[1: авторизация с : EMAIL=test-qa991@yandex.ru, PASSWORD=password12399]"
"","24008","testLoginViaAccountButton[4: авторизация с : EMAIL= , PASSWORD=pass]","","Tue Oct 01 15:18:19 MSK 2024","passed","Tue Oct 01 15:18:43 MSK 2024","","Pages.UserLoginUsingThePersonalButtonTest","Pages.UserLoginUsingThePersonalButtonTest","testLoginViaAccountButton[4: авторизация с : EMAIL= , PASSWORD=pass]"
"","18731","testLoginViaAccountButton[4: авторизация с : EMAIL= , PASSWORD=pass]","","Tue Oct 01 15:25:16 MSK 2024","passed","Tue Oct 01 15:25:35 MSK 2024","","Pages.UserLoginViaPasswordRecoveryFormTest","Pages.UserLoginViaPasswordRecoveryFormTest","testLoginViaAccountButton[4: авторизация с : EMAIL= , PASSWORD=pass]"
"","19085","testLoginViaPersonalCabinetButton[4: авторизация с : EMAIL= , PASSWORD=pass]","","Tue Oct 01 15:18:43 MSK 2024","passed","Tue Oct 01 15:19:02 MSK 2024","","Pages.UserLoginUsingThePersonalButtonTest","Pages.UserLoginUsingThePersonalButtonTest","testLoginViaPersonalCabinetButton[4: авторизация с : EMAIL= , PASSWORD=pass]"
"","20655","testLoginViaPersonalCabinetButton[6: авторизация с : EMAIL=test-qa991@yandex.ru, PASSWORD=password12399]","","Tue Oct 01 15:20:10 MSK 2024","passed","Tue Oct 01 15:20:30 MSK 2024","","Pages.UserLoginUsingThePersonalButtonTest","Pages.UserLoginUsingThePersonalButtonTest","testLoginViaPersonalCabinetButton[6: авторизация с : EMAIL=test-qa991@yandex.ru, PASSWORD=password12399]"
"","7106","testLoginViaPersonalCabinetButton[0: авторизация с : EMAIL=test-qa99@yandex.ru, PASSWORD=password12399]","","Tue Oct 01 15:16:15 MSK 2024","passed","Tue Oct 01 15:16:22 MSK 2024","","Pages.UserLoginUsingThePersonalButtonTest","Pages.UserLoginUsingThePersonalButtonTest","testLoginViaPersonalCabinetButton[0: авторизация с : EMAIL=test-qa99@yandex.ru, PASSWORD=password12399]"
